Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;76168557-0;Distribuidora Arizona Limitada;1251572;23/07/2026;23/07/2026 12:41:40;;0;66240;12586;;;78826;;;;;0;;;;0;;;;
2;33;Del Giro;76134941-4;ADMIN. DE SUPERMERCADOS HIPER LIMITADA;80301670;23/07/2026;24/07/2026 08:57:56;;0;4454;846;;;5300;;;;;0;;;;0;;;;
3;33;Del Giro;96557910-9;Alimentos y Frutos S.A.;9634841;25/07/2026;24/07/2026 10:20:22;;0;48506;9216;;;57722;;;;;0;;;;0;;;;
4;33;Del Giro;91004000-6;PRODUCTOS FERNANDEZ S.A.;41131699;24/07/2026;24/07/2026 14:15:30;;0;175500;33345;;;217620;;;;;0;;;;0;18;8775;5;
5;33;Del Giro;76827029-5;Coccolino Pastelería SPA;3827;24/07/2026;24/07/2026 18:01:50;;0;5874;1116;;;6990;;;;;0;;;;0;;;;
6;33;Del Giro;96945440-8;SOC CONCESIONARIA AUTOPISTA CENTRAL S A;13802165;24/07/2026;24/07/2026 18:24:19;;977;1866;355;;;3198;;;;;0;;;;0;;;;
7;33;Del Giro;76022693-9;COMERCIAL FRUTALVENTO LIMITADA;2086;24/07/2026;24/07/2026 19:33:18;;0;38577;7330;;;45907;;;;;0;;;;0;;;;
8;33;Del Giro;77544666-8;ALIMENTOS SURANDES LIMITADA;24055;25/07/2026;25/07/2026 10:56:09;;0;119000;22610;;;141610;;;;;0;;;;0;;;;
9;33;Del Giro;77264835-9;ALIMENTOS BIGGER LTDA;13332;25/07/2026;25/07/2026 13:11:31;;0;27300;5187;;;32487;;;;;0;;;;0;;;;
10;33;Del Giro;78195523-K;JCM FOOD SPA;4;27/07/2026;27/07/2026 01:18:19;;0;236050;44850;;;280900;;;;;0;;;;0;;;;
11;33;Del Giro;76038019-9;PROCESADORA DE ALIMENTOS TRES EFE S.P.A.;969456;25/07/2026;27/07/2026 08:28:02;;0;67310;12789;;;80099;;;;;0;;;;0;;;;
12;33;Del Giro;96557910-9;Alimentos y Frutos S.A.;9640779;28/07/2026;27/07/2026 13:06:24;;0;103250;19618;;;122868;;;;;0;;;;0;;;;
13;33;Del Giro;77264835-9;ALIMENTOS BIGGER LTDA;13372;28/07/2026;27/07/2026 19:14:09;;0;12300;2337;;;14637;;;;;0;;;;0;;;;
14;33;Del Giro;93281000-K;Coca Cola Embonor S.A.;104366253;28/07/2026;27/07/2026 23:36:50;;0;111215;21131;;;139464;;;;;0;;;;0;271;1019;18;
;33;Del Giro;93281000-K;Coca Cola Embonor S.A.;104366253;28/07/2026;;;;;;;;;;;;;;;;;;27;6099;10;
15;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5714541;28/07/2026;28/07/2026 04:41:48;;0;56090;10657;;;66747;;;;;0;;;;0;;;;
16;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5714542;28/07/2026;28/07/2026 04:41:49;;0;140737;26740;;;174514;;;;;0;;;;0;18;7037;5;
17;33;Del Giro;76038019-9;PROCESADORA DE ALIMENTOS TRES EFE S.P.A.;969805;28/07/2026;28/07/2026 08:48:35;;0;54101;10279;;;64380;;;;;0;;;;0;;;;
18;33;Del Giro;79921330-3;DPS CHILE COMERCIAL LIMITADA.;2449663;28/07/2026;28/07/2026 09:20:17;;0;95270;18101;;;113371;;;;;0;;;;0;;;;
19;33;Del Giro;91004000-6;PRODUCTOS FERNANDEZ S.A.;41161031;28/07/2026;28/07/2026 20:03:50;;0;164790;31310;;;204340;;;;;0;;;;0;18;8240;5;
20;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5716507;29/07/2026;29/07/2026 04:03:31;;0;26900;5111;;;32011;;;;;0;;;;0;;;;
