Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto;SITUACION
1;33;Del Giro;79921330-3;DPS CHILE COMERCIAL LIMITADA.;2461622;28/08/2026;28/08/2026 11:10:19;;0;97760;18574;;;116334;;;;;0;;;;0;;;;Registro
2;33;Del Giro;77264835-9;ALIMENTOS BIGGER LTDA;13970;29/08/2026;28/08/2026 17:46:58;;0;34100;6479;;;40579;;;;;0;;;;0;;;;Registro
3;33;Del Giro;77141376-5;COMERCIAL BESTFRUIT SPA;8371;29/08/2026;29/08/2026 09:49:16;;0;42767;8126;;;50893;;;;;0;;;;0;;;;Registro
4;33;Del Giro;77544666-8;ALIMENTOS SURANDES LIMITADA;24803;29/08/2026;29/08/2026 10:37:54;;0;119000;22610;;;141610;;;;;0;;;;0;;;;Registro
5;33;Del Giro;76038019-9;PROCESADORA DE ALIMENTOS TRES EFE S.P.A.;982820;29/08/2026;31/08/2026 08:07:51;;0;56573;10749;;;67322;;;;;0;;;;0;;;;Registro
6;33;Del Giro;77544666-8;ALIMENTOS SURANDES LIMITADA;24821;31/08/2026;31/08/2026 10:16:16;;0;332000;63080;;;395080;;;;;0;;;;0;;;;Registro
7;33;Del Giro;96557910-9;Alimentos y Frutos S.A.;9728446;01/09/2026;31/08/2026 13:23:01;;0;117992;22418;;;140410;;;;;0;;;;0;;;;Registro
8;33;Del Giro;77264835-9;ALIMENTOS BIGGER LTDA;14005;01/09/2026;31/08/2026 18:13:38;;0;16650;3164;;;19814;;;;;0;;;;0;;;;Registro
9;33;Del Giro;76382688-0;SUPPLAG SPA;41072;31/08/2026;31/08/2026 20:00:30;;0;207800;39482;;;247282;;;;;0;;;;0;;;;Registro
10;33;Del Giro;93281000-K;Coca Cola Embonor S.A.;104857913;01/09/2026;01/09/2026 03:16:04;;0;104470;19849;;;130928;;;;;0;;;;0;271;510;18;Registro
;33;Del Giro;93281000-K;Coca Cola Embonor S.A.;104857913;01/09/2026;;;;;;;;;;;;;;;;;;27;6099;10;Registro
11;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5772305;01/09/2026;01/09/2026 04:20:23;;0;210431;39982;;;260935;;;;;0;;;;0;18;10522;5;Registro
12;33;Del Giro;76029743-7;Alvi Supermercado Mayorista S.A;1955156;01/09/2026;01/09/2026 08:48:56;;0;109916;20884;;;130800;;;;;0;;;;0;;;;Registro
13;33;Del Giro;76038019-9;PROCESADORA DE ALIMENTOS TRES EFE S.P.A.;983704;01/09/2026;01/09/2026 09:00:28;;0;55126;10474;;;65600;;;;;0;;;;0;;;;Registro
14;33;Del Giro;96689310-9;Transbank S.A;58434805;28/08/2026;01/09/2026 09:05:39;;0;372397;70755;;;443152;;;;;0;;;;0;;;;Registro
15;33;Del Giro;77141376-5;COMERCIAL BESTFRUIT SPA;8372;01/09/2026;01/09/2026 09:46:00;;0;45734;8689;;;54423;;;;;0;;;;0;;;;Registro
16;33;Del Giro;79984240-8;AGROSUPER COMERCIALIZADORA DE ALIMENTOS LTDA.;102448149;01/09/2026;01/09/2026 09:49:36;;0;79875;15176;;;95051;;;;;0;;;;0;;;;Registro
17;33;Del Giro;78442738-2;BENBO ORIGINAL SPA;378;01/09/2026;01/09/2026 09:54:26;;0;7143;1357;;;8500;;;;;0;;;;0;;;;Registro
18;33;Del Giro;79921330-3;DPS CHILE COMERCIAL LIMITADA.;2462568;01/09/2026;01/09/2026 11:20:16;;0;172170;32712;;;204882;;;;;0;;;;0;;;;Registro
19;33;Del Giro;76134941-4;ADMIN. DE SUPERMERCADOS HIPER LIMITADA;80494416;01/09/2026;01/09/2026 13:14:53;;0;10563;2007;;;12570;;;;;0;;;;0;;;;Registro
20;33;Del Giro;76134941-4;ADMIN. DE SUPERMERCADOS HIPER LIMITADA;80494415;01/09/2026;01/09/2026 13:20:33;;0;9983;1897;;;11880;;;;;0;;;;0;;;;Registro
21;33;Del Giro;96863570-0;INMOBILIARIA MALL VI?A DEL MAR?S.A.;261318;01/09/2026;01/09/2026 17:26:56;;0;7118516;1352518;;;8471034;;;;;0;;;;0;;;;Registro
22;33;Del Giro;76111152-3;BIDFOOD CHILE S.A.;3664169;02/09/2026;01/09/2026 17:31:41;;0;138097;26238;;;164851;;;;;0;;;;0;19;516;12;Registro
23;33;Del Giro;96689310-9;Transbank S.A;58506633;27/08/2026;01/09/2026 19:11:47;;0;131270;24941;;;156211;;;;;0;;;;0;;;;Registro
24;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5774752;02/09/2026;02/09/2026 03:19:23;;0;115057;21861;;;136918;;;;;0;;;;0;;;;Registro
25;33;Del Giro;78165942-8;NUEVA TAMAR 2.0 Y COMPAÑIA LIMITADA;3039;02/09/2026;02/09/2026 11:28:22;;0;4613;877;;;5490;;;;;0;;;;0;;;;Registro
26;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;22113;26/08/2026;02/09/2026 12:04:49;;0;4454;846;;;5300;;;;;0;;;;0;;;;Registro
27;33;Del Giro;96557910-9;Alimentos y Frutos S.A.;9734626;03/09/2026;02/09/2026 10:38:59;;0;124958;23742;;;148700;;;;;0;;;;0;;;;Registro
28;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;22132;27/08/2026;02/09/2026 12:10:14;;0;4454;846;;;5300;;;;;0;;;;0;;;;Registro
29;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;22148;28/08/2026;02/09/2026 12:13:46;;0;6681;1269;;;7950;;;;;0;;;;0;;;;Registro
30;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;22170;29/08/2026;02/09/2026 12:18:14;;0;13361;2539;;;15900;;;;;0;;;;0;;;;Registro
31;33;Del Giro;76134941-4;ADMIN. DE SUPERMERCADOS HIPER LIMITADA;80523504;02/09/2026;02/09/2026 12:21:19;;0;10234;1945;;;12179;;;;;0;;;;0;;;;Registro
32;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;22192;31/08/2026;02/09/2026 12:24:19;;0;6681;1269;;;7950;;;;;0;;;;0;;;;Registro
33;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;22454;01/09/2026;02/09/2026 12:29:48;;0;4454;846;;;5300;;;;;0;;;;0;;;;Registro
34;33;Del Giro;77209443-4;UBER PORTIER CHILE SPA;2834310;02/09/2026;02/09/2026 13:41:06;;0;2298;437;;;2735;;;;;0;;;;0;;;;Registro
35;33;Del Giro;77264835-9;ALIMENTOS BIGGER LTDA;14036;03/09/2026;02/09/2026 16:53:26;;0;18300;3477;;;21777;;;;;0;;;;0;;;;Registro
36;33;Del Giro;76382688-0;SUPPLAG SPA;41114;03/09/2026;02/09/2026 18:00:50;;0;311700;59223;;;370923;;;;;0;;;;0;;;;Registro
